,r,i,t,b
0,1,1,1,0.0
1,1,1,2,0.0
2,1,1,3,0.0
3,1,1,4,0.0
4,1,1,5,0.0
5,1,1,6,0.0
6,1,1,7,0.0
7,1,1,8,0.0
8,1,1,9,0.0
9,1,1,10,0.0
10,1,1,11,0.0
11,1,1,12,0.0
12,1,1,13,0.0
13,1,1,14,0.0
14,1,1,15,0.0
15,1,1,16,0.0
16,1,1,17,0.0
17,1,1,18,0.0
18,1,1,19,0.0
19,1,1,20,0.0
20,1,1,21,0.0
21,1,1,22,0.0
22,1,1,23,0.0
23,1,1,24,0.0
24,1,1,25,0.0
25,1,1,26,0.0
26,1,1,27,0.0
27,1,1,28,0.0
28,1,1,29,0.0
29,1,1,30,0.0
30,1,2,1,0.0
31,1,2,2,0.0
32,1,2,3,0.0
33,1,2,4,0.0
34,1,2,5,0.0
35,1,2,6,0.0
36,1,2,7,0.0
37,1,2,8,0.0
38,1,2,9,0.0
39,1,2,10,0.0
40,1,2,11,0.0
41,1,2,12,0.0
42,1,2,13,0.0
43,1,2,14,0.0
44,1,2,15,0.0
45,1,2,16,0.0
46,1,2,17,0.0
47,1,2,18,0.0
48,1,2,19,0.0
49,1,2,20,0.0
50,1,2,21,0.0
51,1,2,22,0.0
52,1,2,23,0.0
53,1,2,24,0.0
54,1,2,25,0.0
55,1,2,26,0.0
56,1,2,27,0.0
57,1,2,28,0.0
58,1,2,29,0.0
59,1,2,30,0.0
60,1,3,1,0.0
61,1,3,2,0.0
62,1,3,3,0.0
63,1,3,4,0.0
64,1,3,5,0.0
65,1,3,6,0.0
66,1,3,7,0.0
67,1,3,8,0.0
68,1,3,9,0.0
69,1,3,10,0.0
70,1,3,11,0.0
71,1,3,12,0.0
72,1,3,13,0.0
73,1,3,14,0.0
74,1,3,15,0.0
75,1,3,16,0.0
76,1,3,17,0.0
77,1,3,18,0.0
78,1,3,19,0.0
79,1,3,20,0.0
80,1,3,21,0.0
81,1,3,22,0.0
82,1,3,23,0.0
83,1,3,24,0.0
84,1,3,25,0.0
85,1,3,26,0.0
86,1,3,27,0.0
87,1,3,28,0.0
88,1,3,29,0.0
89,1,3,30,0.0
90,1,4,1,0.0
91,1,4,2,0.0
92,1,4,3,0.0
93,1,4,4,0.0
94,1,4,5,0.0
95,1,4,6,0.0
96,1,4,7,0.0
97,1,4,8,0.0
98,1,4,9,0.0
99,1,4,10,0.0
100,1,4,11,0.0
101,1,4,12,0.0
102,1,4,13,0.0
103,1,4,14,0.0
104,1,4,15,0.0
105,1,4,16,0.0
106,1,4,17,0.0
107,1,4,18,0.0
108,1,4,19,0.0
109,1,4,20,0.0
110,1,4,21,0.0
111,1,4,22,0.0
112,1,4,23,0.0
113,1,4,24,0.0
114,1,4,25,0.0
115,1,4,26,0.0
116,1,4,27,0.0
117,1,4,28,0.0
118,1,4,29,0.0
119,1,4,30,0.0
120,1,5,1,0.0
121,1,5,2,0.0
122,1,5,3,0.0
123,1,5,4,0.0
124,1,5,5,0.0
125,1,5,6,0.0
126,1,5,7,0.0
127,1,5,8,0.0
128,1,5,9,0.0
129,1,5,10,0.0
130,1,5,11,0.0
131,1,5,12,0.0
132,1,5,13,0.0
133,1,5,14,0.0
134,1,5,15,0.0
135,1,5,16,0.0
136,1,5,17,0.0
137,1,5,18,0.0
138,1,5,19,0.0
139,1,5,20,0.0
140,1,5,21,0.0
141,1,5,22,0.0
142,1,5,23,0.0
143,1,5,24,0.0
144,1,5,25,0.0
145,1,5,26,0.0
146,1,5,27,0.0
147,1,5,28,0.0
148,1,5,29,0.0
149,1,5,30,0.0
150,1,6,1,0.0
151,1,6,2,0.0
152,1,6,3,0.0
153,1,6,4,0.0
154,1,6,5,0.0
155,1,6,6,0.0
156,1,6,7,0.0
157,1,6,8,0.0
158,1,6,9,0.0
159,1,6,10,0.0
160,1,6,11,0.0
161,1,6,12,0.0
162,1,6,13,0.0
163,1,6,14,0.0
164,1,6,15,0.0
165,1,6,16,0.0
166,1,6,17,0.0
167,1,6,18,0.0
168,1,6,19,0.0
169,1,6,20,0.0
170,1,6,21,0.0
171,1,6,22,0.0
172,1,6,23,0.0
173,1,6,24,0.0
174,1,6,25,0.0
175,1,6,26,0.0
176,1,6,27,0.0
177,1,6,28,0.0
178,1,6,29,0.0
179,1,6,30,0.0
180,1,7,1,0.0
181,1,7,2,0.0
182,1,7,3,0.0
183,1,7,4,0.0
184,1,7,5,0.0
185,1,7,6,0.0
186,1,7,7,0.0
187,1,7,8,0.0
188,1,7,9,0.0
189,1,7,10,0.0
190,1,7,11,0.0
191,1,7,12,0.0
192,1,7,13,0.0
193,1,7,14,0.0
194,1,7,15,0.0
195,1,7,16,0.0
196,1,7,17,0.0
197,1,7,18,0.0
198,1,7,19,0.0
199,1,7,20,0.0
200,1,7,21,0.0
201,1,7,22,0.0
202,1,7,23,0.0
203,1,7,24,0.0
204,1,7,25,0.0
205,1,7,26,0.0
206,1,7,27,0.0
207,1,7,28,0.0
208,1,7,29,0.0
209,1,7,30,0.0
210,1,8,1,0.0
211,1,8,2,0.0
212,1,8,3,0.0
213,1,8,4,0.0
214,1,8,5,0.0
215,1,8,6,0.0
216,1,8,7,0.0
217,1,8,8,0.0
218,1,8,9,0.0
219,1,8,10,0.0
220,1,8,11,0.0
221,1,8,12,0.0
222,1,8,13,0.0
223,1,8,14,0.0
224,1,8,15,0.0
225,1,8,16,0.0
226,1,8,17,0.0
227,1,8,18,0.0
228,1,8,19,0.0
229,1,8,20,0.0
230,1,8,21,0.0
231,1,8,22,0.0
232,1,8,23,0.0
233,1,8,24,0.0
234,1,8,25,0.0
235,1,8,26,0.0
236,1,8,27,0.0
237,1,8,28,0.0
238,1,8,29,0.0
239,1,8,30,0.0
240,1,9,1,0.0
241,1,9,2,0.0
242,1,9,3,0.0
243,1,9,4,0.0
244,1,9,5,0.0
245,1,9,6,0.0
246,1,9,7,0.0
247,1,9,8,0.0
248,1,9,9,0.0
249,1,9,10,0.0
250,1,9,11,0.0
251,1,9,12,0.0
252,1,9,13,0.0
253,1,9,14,0.0
254,1,9,15,0.0
255,1,9,16,0.0
256,1,9,17,0.0
257,1,9,18,0.0
